year,titel,text,extra
2004,"Mediateca do TFG","Primeira plataforma digital com acesso ao conteúdo completo de TFG.","O padrão de armazenamento era em CD/DVD"
2013,"Portal Midiateca","Nova plataforma digital com visualização parcial dos TFGs","Os quantitativos foram analisados a partir deste ano, por se tratar de dados mais consistentes"
2014,"Greve nacional da educação","Contra os cortes orçamentários sofridos nas instituições federais, os alunos, professores e servidores fizeram uma mobilização nacional. Houve um grande período sem aulas, com reposição de calendário no ano seguinte","O volume de trabalhos enviados permanece estável, porém a média na quantidade de imagens enviadas cai para 2 imagens por trabalho"
2015,"Trabalhos teóricos e experimentais","A Comissão Coordenadora de TFG abre mais dois tipos de categorias de trabalhos: os teóricos e experimentais. A partir deste ano, há trabalhos que não são enviados à Midiateca por conta de sua categoria"
2016,"Incêndio na Reitoria","O edifício Jorge Machado Moreira, que abriga a FAU e também os cursos da Belas Artes, ficaram meses em situação precária com aulas nos corredores e superlotação de salas. A Comissão repete estratégias para facilitar a entrega do material à Midiateca","A situação se repete no ano seguinte, com um número razoável de trabalhos, porém uma queda no número de imagens enviadas"
2018,"Recorde de número de imagens enviadas.","Com um total de 2233 imagens, o ano de 2018 tem larga vantagem. Em segundo está 2020 com 1971 imagens","Também foi recorde no número de trabalhos apresentados no primeiro semestre"
2020,"TFGs remotos","Com a pandemia de COVID-19, os trabalhos foram condicionados a serem apresentados totalmente online","O primeiro semestre, que teve início em OUT/2020, teve apenas 36 trabalhos apresentados - o menor número"
